Name,Code,Control code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
28,L_1,,,339472.221,5626438.492,0.000,,-101.27647162,50.76747476,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
29,L_1,,,339471.916,5626442.278,0.000,,-101.27647758,50.76750870,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
30,L_1,,,339471.600,5626446.062,0.000,,-101.27648372,50.76754261,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
31,L_1,,,339471.272,5626449.846,0.000,,-101.27649002,50.76757652,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
32,L_1,,,339471.220,5626452.175,0.000,,-101.27649176,50.76759744,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
33,L_1,,,339471.157,5626454.504,0.000,,-101.27649368,50.76761835,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
34,L_1,,,339471.080,5626456.833,0.000,,-101.27649578,50.76763925,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
35,L_1,,,339470.982,5626459.385,0.000,,-101.27649828,50.76766216,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
36,L_1,,,339470.891,5626461.489,0.000,,-101.27650050,50.76768104,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
37,L_1,,,339470.777,5626463.816,0.000,,-101.27650312,50.76770192,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
38,L_1,,,339470.652,5626466.142,0.000,,-101.27650592,50.76772279,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
39,L_1,,,339470.513,5626468.468,0.000,,-101.27650889,50.76774365,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
40,L_1,,,339470.363,5626470.793,0.000,,-101.27651204,50.76776450,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
41,L_1,,,339470.200,5626473.117,0.000,,-101.27651536,50.76778534,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
42,L_1,,,339470.024,5626475.441,0.000,,-101.27651886,50.76780616,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
43,L_1,,,339469.836,5626477.763,0.000,,-101.27652254,50.76782698,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
44,L_1,,,339469.636,5626480.084,0.000,,-101.27652639,50.76784778,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
45,L_1,,,339469.423,5626482.404,0.000,,-101.27653042,50.76786857,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
46,L_1,,,339469.198,5626484.723,0.000,,-101.27653462,50.76788935,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
47,L_1,,,339468.961,5626487.041,0.000,,-101.27653899,50.76791011,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
48,L_1,,,339468.711,5626489.357,0.000,,-101.27654354,50.76793085,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
49,L_1,,,339468.449,5626491.673,0.000,,-101.27654827,50.76795159,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
50,L_1,,,339468.174,5626493.986,0.000,,-101.27655316,50.76797230,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
51,L_1,,,339467.888,5626496.298,0.000,,-101.27655824,50.76799300,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
52,L_1,,,339467.588,5626498.609,0.000,,-101.27656349,50.76801368,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
53,L_1,,,339467.277,5626500.918,0.000,,-101.27656891,50.76803434,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
54,L_1,,,339466.953,5626503.225,0.000,,-101.27657450,50.76805498,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
55,L_1,,,339466.617,5626505.531,0.000,,-101.27658027,50.76807560,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
56,L_1,,,339466.269,5626507.834,0.000,,-101.27658621,50.76809621,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
57,L_1,,,339465.908,5626510.136,0.000,,-101.27659233,50.76811679,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
58,L_1,,,339465.535,5626512.436,0.000,,-101.27659862,50.76813735,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
59,L_1,,,339465.150,5626514.734,0.000,,-101.27660508,50.76815790,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
60,L_1,,,339464.752,5626517.030,0.000,,-101.27661171,50.76817841,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
61,L_1,,,339464.342,5626519.323,0.000,,-101.27661852,50.76819891,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
62,L_1,,,339463.920,5626521.614,0.000,,-101.27662550,50.76821938,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
63,L_1,,,339463.486,5626523.904,0.000,,-101.27663265,50.76823983,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
64,L_1,,,339463.040,5626526.190,0.000,,-101.27663997,50.76826026,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
65,L_1,,,339462.581,5626528.475,0.000,,-101.27664747,50.76828066,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
66,L_1,,,339462.110,5626530.756,0.000,,-101.27665514,50.76830103,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
67,L_1,,,339461.627,5626533.036,0.000,,-101.27666298,50.76832138,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
68,L_1,,,339461.132,5626535.312,0.000,,-101.27667099,50.76834170,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
69,L_1,,,339460.625,5626537.586,0.000,,-101.27667917,50.76836199,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
70,L_1,,,339460.105,5626539.858,0.000,,-101.27668752,50.76838226,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
71,L_1,,,339459.574,5626542.126,0.000,,-101.27669604,50.76840249,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
72,L_1,,,339459.030,5626544.392,0.000,,-101.27670473,50.76842270,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
73,L_1,,,339458.474,5626546.654,0.000,,-101.27671359,50.76844288,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
74,L_1,,,339457.904,5626548.922,0.000,,-101.27672266,50.76846309,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
75,L_1,,,339457.327,5626551.170,0.000,,-101.27673182,50.76848314,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
76,L_1,,,339456.735,5626553.424,0.000,,-101.27674120,50.76850323,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
77,L_1,,,339456.131,5626555.674,0.000,,-101.27675073,50.76852328,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
78,L_1,,,339455.515,5626557.921,0.000,,-101.27676044,50.76854330,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
79,L_1,,,339454.887,5626560.165,0.000,,-101.27677032,50.76856329,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
80,L_1,,,339454.247,5626562.405,0.000,,-101.27678036,50.76858324,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
81,L_1,,,339453.595,5626564.642,0.000,,-101.27679057,50.76860316,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
82,L_1,,,339452.932,5626566.875,0.000,,-101.27680095,50.76862304,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
83,L_1,,,339452.256,5626569.105,0.000,,-101.27681150,50.76864289,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
84,L_1,,,339451.568,5626571.331,0.000,,-101.27682221,50.76866271,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
85,L_1,,,339450.869,5626573.554,0.000,,-101.27683309,50.76868248,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
86,L_1,,,339450.158,5626575.772,0.000,,-101.27684414,50.76870222,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
87,L_1,,,339449.175,5626578.767,0.000,,-101.27685937,50.76872886,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
88,L_1,,,339439.441,5626578.767,0.000,,-101.27699730,50.76872617,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
89,L_1,,,339439.500,5626578.594,0.000,,-101.27699639,50.76872463,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
90,L_1,,,339440.238,5626576.378,0.000,,-101.27698496,50.76870492,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
91,L_1,,,339440.965,5626574.157,0.000,,-101.27697370,50.76868517,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
92,L_1,,,339441.680,5626571.934,0.000,,-101.27696260,50.76866538,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
93,L_1,,,339442.382,5626569.706,0.000,,-101.27695167,50.76864556,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
94,L_1,,,339443.073,5626567.474,0.000,,-101.27694090,50.76862570,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
95,L_1,,,339443.752,5626565.239,0.000,,-101.27693030,50.76860580,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
96,L_1,,,339444.420,5626563.001,0.000,,-101.27691988,50.76858587,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
97,L_1,,,339445.075,5626560.758,0.000,,-101.27690961,50.76856591,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
98,L_1,,,339445.718,5626558.513,0.000,,-101.27689952,50.76854590,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
99,L_1,,,339446.349,5626556.264,0.000,,-101.27688960,50.76852587,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
100,L_1,,,339446.968,5626554.011,0.000,,-101.27687985,50.76850580,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
101,L_1,,,339447.575,5626551.755,0.000,,-101.27687026,50.76848570,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
102,L_1,,,339448.169,5626549.496,0.000,,-101.27686085,50.76846556,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
103,L_1,,,339448.752,5626547.234,0.000,,-101.27685160,50.76844540,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
104,L_1,,,339449.323,5626544.969,0.000,,-101.27684253,50.76842520,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
105,L_1,,,339449.881,5626542.701,0.000,,-101.27683363,50.76840498,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
106,L_1,,,339450.428,5626540.430,0.000,,-101.27682489,50.76838472,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
107,L_1,,,339450.962,5626538.156,0.000,,-101.27681633,50.76836443,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
108,L_1,,,339451.484,5626535.879,0.000,,-101.27680794,50.76834412,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
109,L_1,,,339451.994,5626533.599,0.000,,-101.27679972,50.76832377,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
110,L_1,,,339452.491,5626531.317,0.000,,-101.27679168,50.76830340,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
111,L_1,,,339452.977,5626529.032,0.000,,-101.27678380,50.76828300,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
112,L_1,,,339453.450,5626526.744,0.000,,-101.27677610,50.76826258,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
113,L_1,,,339453.911,5626524.454,0.000,,-101.27676857,50.76824213,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
114,L_1,,,339454.359,5626522.162,0.000,,-101.27676121,50.76822165,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
115,L_1,,,339454.942,5626519.076,0.000,,-101.27675161,50.76819409,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
116,L_1,,,339455.220,5626517.570,0.000,,-101.27674702,50.76818063,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
117,L_1,,,339455.632,5626515.270,0.000,,-101.27674018,50.76816008,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
118,L_1,,,339456.031,5626512.969,0.000,,-101.27673351,50.76813951,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
119,L_1,,,339456.418,5626510.665,0.000,,-101.27672702,50.76811892,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
120,L_1,,,339456.793,5626508.359,0.000,,-101.27672071,50.76809830,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
121,L_1,,,339457.155,5626506.052,0.000,,-101.27671456,50.76807767,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
122,L_1,,,339457.506,5626503.742,0.000,,-101.27670859,50.76805701,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
123,L_1,,,339457.843,5626501.431,0.000,,-101.27670280,50.76803634,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
124,L_1,,,339458.169,5626499.118,0.000,,-101.27669718,50.76801564,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
125,L_1,,,339458.482,5626496.803,0.000,,-101.27669173,50.76799493,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
